,day,slope,type,type_pretty
62,1.0,0.10720000000000596,Total infected derivative,10%
63,2.0,0.19335000000000946,Total infected derivative,10%
64,3.0,0.30860000000001264,Total infected derivative,10%
65,4.0,0.5020499999999686,Total infected derivative,10%
66,5.0,0.5891999999999769,Total infected derivative,10%
67,6.0,0.46590000000000487,Total infected derivative,10%
68,7.0,0.5470499999999845,Total infected derivative,10%
69,8.0,0.8467000000000269,Total infected derivative,10%
70,9.0,1.194500000000005,Total infected derivative,10%
71,10.0,1.589149999999961,Total infected derivative,10%
72,11.0,1.9819000000000244,Total infected derivative,10%
73,12.0,1.9048500000000388,Total infected derivative,10%
74,13.0,1.4689499999999782,Total infected derivative,10%
75,14.0,1.3636999999999944,Total infected derivative,10%
76,15.0,1.5661500000000217,Total infected derivative,10%
77,16.0,1.888799999999975,Total infected derivative,10%
78,17.0,2.307599999999951,Total infected derivative,10%
79,18.0,2.7575000000000216,Total infected derivative,10%
80,19.0,2.5411000000000286,Total infected derivative,10%
81,20.0,1.8165999999999656,Total infected derivative,10%
82,21.0,1.6301499999999862,Total infected derivative,10%
83,22.0,1.932850000000002,Total infected derivative,10%
84,23.0,2.375750000000039,Total infected derivative,10%
85,24.0,2.714450000000028,Total infected derivative,10%
86,25.0,2.9790499999999724,Total infected derivative,10%
87,26.0,2.6212500000000034,Total infected derivative,10%
88,27.0,1.8326000000000136,Total infected derivative,10%
89,28.0,1.636250000000004,Total infected derivative,10%
90,29.0,1.8047500000000127,Total infected derivative,10%
91,30.0,1.9789499999999833,Total infected derivative,10%
92,31.0,2.1862999999999886,Total infected derivative,10%
93,32.0,2.50805000000004,Total infected derivative,10%
94,33.0,2.309650000000005,Total infected derivative,10%
95,34.0,1.6893999999999778,Total infected derivative,10%
96,35.0,1.472999999999999,Total infected derivative,10%
97,36.0,1.5871999999999957,Total infected derivative,10%
98,37.0,1.7764500000000254,Total infected derivative,10%
99,38.0,2.074150000000003,Total infected derivative,10%
100,39.0,2.3486999999999796,Total infected derivative,10%
101,40.0,2.0651499999999885,Total infected derivative,10%
102,41.0,1.5100500000000068,Total infected derivative,10%
103,42.0,1.3026000000000266,Total infected derivative,10%
104,43.0,1.3687500000000057,Total infected derivative,10%
105,44.0,1.5550999999999817,Total infected derivative,10%
106,45.0,1.7204499999999712,Total infected derivative,10%
107,46.0,1.9208499999999873,Total infected derivative,10%
108,47.0,1.7665500000000094,Total infected derivative,10%
109,48.0,1.304550000000006,Total infected derivative,10%
110,49.0,1.145249999999976,Total infected derivative,10%
111,50.0,1.2023999999999972,Total infected derivative,10%
112,51.0,1.317700000000002,Total infected derivative,10%
113,52.0,1.4629000000000332,Total infected derivative,10%
114,53.0,1.6221500000000049,Total infected derivative,10%
115,54.0,1.5101499999999817,Total infected derivative,10%
116,55.0,1.1122500000000173,Total infected derivative,10%
117,56.0,0.9558500000000123,Total infected derivative,10%
118,57.0,1.0250500000000073,Total infected derivative,10%
119,58.0,1.1312499999999943,Total infected derivative,10%
120,59.0,1.2024000000000115,Total infected derivative,10%
121,60.0,,Total infected derivative,10%
122,0.0,0.04599999999999227,Total infected derivative,40%
123,1.0,0.06314999999997895,Total infected derivative,40%
124,2.0,0.10524999999998386,Total infected derivative,40%
125,3.0,0.18635000000000446,Total infected derivative,40%
126,4.0,0.26855000000003315,Total infected derivative,40%
127,5.0,0.26855000000003315,Total infected derivative,40%
128,6.0,0.23150000000001114,Total infected derivative,40%
129,7.0,0.29054999999996767,Total infected derivative,40%
130,8.0,0.4177999999999713,Total infected derivative,40%
131,9.0,0.5401999999999703,Total infected derivative,40%
132,10.0,0.6673999999999864,Total infected derivative,40%
133,11.0,0.8296000000000276,Total infected derivative,40%
134,12.0,0.8246499999999912,Total infected derivative,40%
135,13.0,0.6152500000000032,Total infected derivative,40%
136,14.0,0.551050000000032,Total infected derivative,40%
137,15.0,0.6483000000000061,Total infected derivative,40%
138,16.0,0.7524999999999693,Total infected derivative,40%
139,17.0,0.8747499999999775,Total infected derivative,40%
140,18.0,1.0170000000000243,Total infected derivative,40%
141,19.0,0.9819500000000403,Total infected derivative,40%
142,20.0,0.7575999999999965,Total infected derivative,40%
143,21.0,0.7043999999999642,Total infected derivative,40%
144,22.0,0.8246000000000038,Total infected derivative,40%
145,23.0,0.9899000000000342,Total infected derivative,40%
146,24.0,1.124149999999986,Total infected derivative,40%
147,25.0,1.1603000000000065,Total infected derivative,40%
148,26.0,1.0451000000000192,Total infected derivative,40%
149,27.0,0.8007000000000062,Total infected derivative,40%
150,28.0,0.7496000000000151,Total infected derivative,40%
151,29.0,0.8977499999999736,Total infected derivative,40%
152,30.0,1.0170500000000118,Total infected derivative,40%
153,31.0,1.10420000000002,Total infected derivative,40%
154,32.0,1.1753499999999804,Total infected derivative,40%
155,33.0,1.0711499999999887,Total infected derivative,40%
156,34.0,0.809599999999989,Total infected derivative,40%
157,35.0,0.7264499999999998,Total infected derivative,40%
158,36.0,0.7995999999999697,Total infected derivative,40%
159,37.0,0.864799999999974,Total infected derivative,40%
160,38.0,0.9540000000000077,Total infected derivative,40%
161,39.0,1.0781499999999937,Total infected derivative,40%
162,40.0,1.021950000000004,Total infected derivative,40%
163,41.0,0.7364500000000191,Total infected derivative,40%
164,42.0,0.6563999999999908,Total infected derivative,40%
165,43.0,0.7635499999999809,Total infected derivative,40%
166,44.0,0.8455999999999904,Total infected derivative,40%
167,45.0,1.0090000000000003,Total infected derivative,40%
168,46.0,1.1242500000000462,Total infected derivative,40%
169,47.0,0.9598500000000314,Total infected derivative,40%
170,48.0,0.7655499999999762,Total infected derivative,40%
171,49.0,0.7003999999999735,Total infected derivative,40%
172,50.0,0.7374500000000097,Total infected derivative,40%
173,51.0,0.8126500000000334,Total infected derivative,40%
174,52.0,0.8466499999999968,Total infected derivative,40%
175,53.0,0.929949999999991,Total infected derivative,40%
176,54.0,0.8678000000000168,Total infected derivative,40%
177,55.0,0.6722500000000053,Total infected derivative,40%
178,56.0,0.6122000000000014,Total infected derivative,40%
179,57.0,0.6542999999999921,Total infected derivative,40%
180,58.0,0.7364499999999907,Total infected derivative,40%
181,59.0,0.7896000000000072,Total infected derivative,40%
182,60.0,,Total infected derivative,40%
183,0.0,0.034100000000023556,Total infected derivative,70%
184,1.0,0.043099999999981264,Total infected derivative,70%
185,2.0,0.058099999999996044,Total infected derivative,70%
186,3.0,0.06315000000000737,Total infected derivative,70%
187,4.0,0.07714999999998895,Total infected derivative,70%
188,5.0,0.09114999999999895,Total infected derivative,70%
189,6.0,0.08815000000001305,Total infected derivative,70%
190,7.0,0.10020000000000095,Total infected derivative,70%
191,8.0,0.11825000000001751,Total infected derivative,70%
192,9.0,0.1292500000000132,Total infected derivative,70%
193,10.0,0.15234999999998422,Total infected derivative,70%
194,11.0,0.17334999999999923,Total infected derivative,70%
195,12.0,0.16229999999998768,Total infected derivative,70%
196,13.0,0.14324999999999477,Total infected derivative,70%
197,14.0,0.144299999999987,Total infected derivative,70%
198,15.0,0.17439999999999145,Total infected derivative,70%
199,16.0,0.20040000000003033,Total infected derivative,70%
200,17.0,0.23250000000001592,Total infected derivative,70%
201,18.0,0.23444999999998117,Total infected derivative,70%
202,19.0,0.19940000000002556,Total infected derivative,70%
203,20.0,0.1793999999999869,Total infected derivative,70%
204,21.0,0.1872499999999775,Total infected derivative,70%
205,22.0,0.200300000000027,Total infected derivative,70%
206,23.0,0.20844999999999914,Total infected derivative,70%
207,24.0,0.23250000000001592,Total infected derivative,70%
208,25.0,0.2595499999999902,Total infected derivative,70%
209,26.0,0.23949999999996407,Total infected derivative,70%
210,27.0,0.18035000000003265,Total infected derivative,70%
211,28.0,0.16630000000000678,Total infected derivative,70%
212,29.0,0.1893999999999778,Total infected derivative,70%
213,30.0,0.22945000000001414,Total infected derivative,70%
214,31.0,0.2605000000000075,Total infected derivative,70%
215,32.0,0.26354999999995243,Total infected derivative,70%
216,33.0,0.2474499999999864,Total infected derivative,70%
217,34.0,0.20445000000003688,Total infected derivative,70%
218,35.0,0.17345000000003097,Total infected derivative,70%
219,36.0,0.18735000000000923,Total infected derivative,70%
220,37.0,0.23244999999997162,Total infected derivative,70%
221,38.0,0.2575999999999965,Total infected derivative,70%
222,39.0,0.24150000000000205,Total infected derivative,70%
223,40.0,0.21239999999997394,Total infected derivative,70%
224,41.0,0.17130000000000223,Total infected derivative,70%
225,42.0,0.177250000000015,Total infected derivative,70%
226,43.0,0.2093500000000006,Total infected derivative,70%
227,44.0,0.22050000000001546,Total infected derivative,70%
228,45.0,0.24055000000001314,Total infected derivative,70%
229,46.0,0.2504999999999882,Total infected derivative,70%
230,47.0,0.2213999999999885,Total infected derivative,70%
231,48.0,0.17425000000000068,Total infected derivative,70%
232,49.0,0.1752999999999929,Total infected derivative,70%
233,50.0,0.19039999999998258,Total infected derivative,70%
234,51.0,0.21649999999999636,Total infected derivative,70%
235,52.0,0.23855000000003201,Total infected derivative,70%
236,53.0,0.23850000000001614,Total infected derivative,70%
237,54.0,0.23149999999998272,Total infected derivative,70%
238,55.0,0.17434999999997558,Total infected derivative,70%
239,56.0,0.15425000000001887,Total infected derivative,70%
240,57.0,0.1874000000000251,Total infected derivative,70%
241,58.0,0.20744999999996594,Total infected derivative,70%
242,59.0,0.21039999999993597,Total infected derivative,70%
243,60.0,,Total infected derivative,70%
