,day,values,values_type,type,type_pretty,vaccine_efficacy,prevalence,plot_type
18,18.0,11.475371428571426,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
19,19.0,11.394500000000003,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
20,20.0,11.073007142857147,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
21,21.0,10.5514,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
22,22.0,9.906542857142858,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
23,23.0,9.290292857142859,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
24,24.0,8.837535714285714,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
25,25.0,8.369321428571428,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
26,26.0,7.749071428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
27,27.0,7.018321428571425,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
28,28.0,6.258207142857139,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
29,29.0,5.496821428571429,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
30,30.0,4.831521428571429,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
31,31.0,4.365735714285713,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
32,32.0,3.9742357142857134,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
33,33.0,3.56055,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
34,34.0,3.167050000000001,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
35,35.0,2.786157142857145,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
36,36.0,2.422414285714288,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
37,37.0,2.132685714285716,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
38,38.0,1.92012142857143,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
39,39.0,1.7446214285714305,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
40,40.0,1.5681214285714282,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
41,41.0,1.3823214285714278,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
42,42.0,1.2013999999999982,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
43,43.0,1.0284928571428529,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
44,44.0,0.8817642857142829,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
45,45.0,0.7804285714285706,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
46,46.0,0.6918428571428572,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
47,47.0,0.605392857142858,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
48,48.0,0.5359500000000017,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
49,49.0,0.474657142857144,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
50,50.0,0.4186928571428601,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
51,51.0,0.37490000000000273,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
52,52.0,0.3435357142857133,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
53,53.0,0.32376428571428406,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
54,54.0,0.30301428571428546,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
55,55.0,0.2785571428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
56,56.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
57,57.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
58,58.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
59,0.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
60,1.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
61,2.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
62,3.0,1.1106357142857104,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
63,4.0,1.4295642857142883,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
64,5.0,2.0273428571428678,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
65,6.0,2.894221428571443,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
66,7.0,3.9603500000000116,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
67,8.0,5.186385714285722,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
68,9.0,6.304900000000009,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
69,10.0,7.111207142857149,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
70,11.0,7.834521428571428,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
71,12.0,8.614364285714279,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
72,13.0,9.359414285714273,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
73,14.0,9.954764285714278,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
74,15.0,10.35299285714286,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
75,16.0,10.59175714285715,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
76,17.0,10.736057142857149,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
77,18.0,10.745485714285717,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
78,19.0,10.53834285714286,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
79,20.0,10.145585714285714,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
80,21.0,9.626985714285711,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
81,22.0,8.98139285714285,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
82,23.0,8.365585714285704,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
83,24.0,7.922271428571423,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
84,25.0,7.503728571428572,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
85,26.0,6.98527857142857,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
86,27.0,6.365599999999999,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
87,28.0,5.715714285714288,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
88,29.0,5.081442857142858,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
89,30.0,4.545942857142857,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
90,31.0,4.173628571428569,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
91,32.0,3.8315142857142828,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
92,33.0,3.4444571428571438,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
93,34.0,3.0629857142857158,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
94,35.0,2.694828571428573,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
95,36.0,2.3570214285714304,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
96,37.0,2.09507142857143,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
97,38.0,1.8940857142857166,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
98,39.0,1.726314285714287,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
99,40.0,1.5772928571428568,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
100,41.0,1.4246999999999994,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
101,42.0,1.2696785714285708,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
102,43.0,1.1030571428571432,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
103,44.0,0.9544714285714275,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
104,45.0,0.857292857142856,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
105,46.0,0.7853071428571415,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
106,47.0,0.7090071428571422,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
107,48.0,0.6301285714285731,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
108,49.0,0.5558357142857142,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
109,50.0,0.4905428571428558,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
110,51.0,0.43642142857142924,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
111,52.0,0.3954928571428573,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
112,53.0,0.36385714285714243,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
113,54.0,0.33264999999999895,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
114,55.0,0.30759999999999976,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
115,56.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
116,57.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
117,58.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
118,0.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
119,1.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
120,2.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
121,3.0,0.8306785714285718,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
122,4.0,1.0546857142857187,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
123,5.0,1.458921428571431,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
124,6.0,2.059692857142859,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
125,7.0,2.835950000000005,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
126,8.0,3.7353142857142894,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
127,9.0,4.552650000000004,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
128,10.0,5.143685714285719,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
129,11.0,5.67605,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
130,12.0,6.276828571428567,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
131,13.0,6.891485714285715,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
132,14.0,7.443028571428573,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
133,15.0,7.870185714285716,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
134,16.0,8.167799999999996,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
135,17.0,8.385799999999989,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
136,18.0,8.527778571428566,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
137,19.0,8.552971428571427,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
138,20.0,8.457207142857136,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
139,21.0,8.246921428571422,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
140,22.0,7.927707142857142,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
141,23.0,7.602621428571428,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
142,24.0,7.342678571428568,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
143,25.0,7.063549999999999,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
144,26.0,6.68221428571429,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
145,27.0,6.175485714285716,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
146,28.0,5.577285714285715,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
147,29.0,4.961928571428569,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
148,30.0,4.4552000000000005,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
149,31.0,4.100185714285718,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
150,32.0,3.767100000000001,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
151,33.0,3.3966499999999993,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
152,34.0,3.0225999999999984,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
153,35.0,2.6718999999999977,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
154,36.0,2.3599857142857132,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
155,37.0,2.093457142857141,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
156,38.0,1.8973857142857142,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
157,39.0,1.7515357142857144,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
158,40.0,1.6089642857142812,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
159,41.0,1.48357857142857,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
160,42.0,1.372342857142858,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
161,43.0,1.2485214285714281,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
162,44.0,1.1368714285714308,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
163,45.0,1.0568214285714288,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
164,46.0,0.9871071428571431,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
165,47.0,0.9023642857142886,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
166,48.0,0.7935714285714295,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
167,49.0,0.6876642857142872,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
168,50.0,0.5960571428571423,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
169,51.0,0.5171714285714241,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
170,52.0,0.4599214285714278,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
171,53.0,0.4152500000000024,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
172,54.0,0.3787428571428596,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
173,55.0,0.3436928571428593,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
174,56.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
175,57.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
176,58.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
177,0.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
178,1.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
179,2.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
180,3.0,0.6362857142857113,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
181,4.0,0.7988928571428542,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
182,5.0,1.085878571428566,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
183,6.0,1.5058571428571423,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
184,7.0,2.039500000000004,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
185,8.0,2.6440071428571423,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
186,9.0,3.2005357142857185,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
187,10.0,3.6129285714285766,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
188,11.0,4.001435714285715,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
189,12.0,4.459921428571431,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
190,13.0,4.927864285714284,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
191,14.0,5.3673142857142775,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
192,15.0,5.76954285714285,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
193,16.0,6.078607142857136,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
194,17.0,6.29215714285714,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
195,18.0,6.443285714285718,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
196,19.0,6.520885714285718,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
197,20.0,6.536064285714286,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
198,21.0,6.463771428571429,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
199,22.0,6.3027357142857205,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
200,23.0,6.125385714285719,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
201,24.0,5.980542857142859,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
